"","x"
"1","Cat_1"
"2","Fire_10"
"3","Solar_panel_1"
"4","Soldiers_2"
"5","Cat_2"
"6","Nude_man_6"
"7","Statue_1"
"8","Surgery_4"
"9","Jail_2"
"10","Picnic_3"
"11","Goat_2"
"12","Plane_crash_2"
"13","Dancing_3"
"14","Goat_1"
"15","Alcohol_1"
"16","Cold_8"
"17","Cockroach_1"
"18","Baby_3"
"19","Shark_3"
"20","Doctor_9"
"21","Exercise_1"
"22","Meerkat_1"
"23","Crow_2"
"24","Galaxy_6"
"25","Ferret_1"
"26","Doctor_4"
"27","Moon_1"
"28","Galaxy_1"
"29","Sad_face_5"
"30","School_4"
"31","Lightning_7"
"32","Thunderstorm_10"
"33","Shot_4"
"34","Surprise_2"
"35","Shot_1"
"36","Monkey_3"
"37","Shark_7"
"38","Thunderstorm_7"
"39","Wedding_9"
"40","Satellite_1"
"41","Cat_11"
"42","Child_labor_3"
"43","Alcohol_4"
"44","Nude_man_19"
"45","Road_1"
"46","Doctor_3"
"47","Running_away_1"
"48","Dog_9"
"49","Dog_28"
"50","Gazing_3"
"51","Smiling_face_1"
"52","Fire_1"
"53","Bar_1"
"54","Rooster_1"
"55","Stingray_3"
"56","Garbage_dump_7"
"57","Baby_9"
"58","Knife_1"
"59","Lightning_1"
"60","Nude_couple_1"
"61","Dog_1"
"62","Volcano_1"
"63","Wedding_2"
"64","Jail_3"
"65","Cat_13"
